index,question,value,response,correct
0,"What are the amounts of non-cooling water withdrawal between surface water, groundwater, third party or other sources in 2021 ranked in ascending order?","19156, 31870, 513631, 1507606",1507606#513631#19156#31870,False
1,Is the estimated energy consumption from purchased renewable electricity lower than grid electricity in MWh for the year 2023?,yes,false,False
2,What is the lowest carbon intensity in millions of euros of revenue IFRS reported in the years 2023 and 2022?,31.2,31.2#31.4,False
3,Is the intensity of GHG emissions (Scope 1+2) of operated Upstream oil/gas activities greater than the intensity of emissions on equity basis Upstream oil/gas activities for the year 2023?,no,false,False
4,Is the value of indirect GHG emissions in Mt CO2e for end of life treatment emissions greater than the value of the processing of sold products emissions in the year 2023?,yes,10#5 |,False
5,Is the percentage of sustainable cotton greater than the one for recycled polyester in 2022?,yes,96,False
6,What is the lowest value of CO2 emissions between different business lines in 2023?,0.2,0.58#0.25#0.94#0.93#1.5#7.9#3.7#3.5#0.2 |,False
7,What are the four lowest values of the Global Energy Efficiency Indicator (GEEI) from the years 2019 to 2023 in ascending order?,"85.1, 86.4, 87.0, 88.0","85.1#86.4#87.0#88.0 |

the corresponding scale is: none |

",False
8,"What is the highest estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",49674,21008#33245#49674,False
9,Is the group total emissions location based (in kt CO2eq) for the year 2021 lower than the one for the year 2023?,yes,false,False
10,"What are the two highest emission intensity values (in kt CO2 eq/€mln) for Market-based Scope 1, 2 and 3 from the years 2022 and 2023 in descending order?","156.5, 125.4",125.4#87.7,False
11,"What is the maximum value of market-based group total emissions (in kt CO2eq) between the year 2023, 2022 and 2021?",6446.5,6446.5,True
12,"Is the group total value of the market-based Scope 1, 2 and 3 emissions (in kt CO2eq) for the year 2021 greater than in 2022?",no,true,False
13,What are the top two values of energy consumption (MWh) for the years 2022 and 2023 in decreasing order?,"82766.0, 71218.0",71218#82766,False
