index,question,value,response,correct
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re,response too long,False
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"otc_esocf, otc_bayzf, otc_adddf, axa, nyse_az",response too long,False
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01",response too long,False
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0",5.41743e+06#4.72231e+06#4.92448e+06#4.84016e+06#4.09721e+06,False
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02",response too long,False
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,otc_esocf,response too long,False
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0",92467#97455,False
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07,response too long,False
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03,response too long,False
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0","1.91#1.5#1.2#0.2 |

### text

| company name: otc_adddf |

| scope 3: indirect emissions from our upstream and downstream value chains (by materiality) |

| of which indirect emissions from our upstream value chain to attain the sbt |

| million metric tons of co2 equivalents |

| scope 1: direct emissions |

| scope 2: indirect emissions according to the market-based method |

| total greenhouse gas emissions according to the market-based method |

| direct greenhouse gas emissions - scope 1 |

| indirect energy-related greenhouse gas emissions - scope 2 (location based) |

| indirect upstream and downstream greenhouse gas emissions as the sum of the following categories - scope 3 |

| category 1: purchased goods and services |

| category 2: capital goods |

| category 3: combustion fuel and energy-related emissions |

| category 4: upstream transmission and distribution |

| category 5: waste |

| category 6: business travel |

| category 7: commuting by employees |

| category 9: downstream transmission and distribution |

| category 10: processing of sold products |

| category 11: use of sold products |

| category 15: investments |

| biogenic emissions |

| unnamed: 0 |

| unnamed: 1 |

| scope |

| scope 1 |

| thereof from business trips with company cars |

| scope 2 |

| ghg emissions from indirect energy consumption |

| scope 3 |

| other indirect ghg emissions |

| scope 1-3 - own operations |

| total ghg emissions, scope 1-3 own operations, scope 2 market-based |

| tco,eq |

| scope 1 |

| scope 2 market-based |

| scope 2 location-based |

| total scopes 1 and 2 market-based |

| total scopes 1 and 2 location-based |

| partial scope 3 (a) |

| partial scope 3 restated (a) (b) |

| million metric tons of co2 equivalents |

| 1.91#1.5#1.2#0.2 |

| company name: otc_bayzf |

| greenhouse gas emissions |

| million metric tons of co2 equivalents |

| scope 1: direct emissions |

| scope 2: indirect emissions according to the market-based method |

| total greenhouse gas emissions according to the market-based method |

| scope 3: indirect emissions from our upstream and downstream value chains (by materiality) |

| of which indirect emissions from our upstream value chain to attain the sbt |

| 6.05905e+06 |

| 2022 |

| 1.91#1.5#1.2#0.2 |

| 2023 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.7",False
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0",response too long,False
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0",response too long,False
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04",response too long,False
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0,response too long,False
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"nasdaq_dasty, axa, munich-re, otc_esocf, otc_rwnef",response too long,False
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"otc_bayzf, otc_rwnef, otc_adddf",response too long,False
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_rwnef",response too long,False
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"nyse_az, nasdaq_dasty, vivendi, munich-re, otc_esocf",response too long,False
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"otc_rwnef, otc_esocf, munich-re, axa, nasdaq_dasty",response too long,False
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,otc_esocf,response too long,False
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"otc_rwnef, otc_esocf, munich-re, otc_adddf",response too long,False
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068,response too long,False
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"otc_esocf, otc_rwnef, otc_bayzf, munich-re",92467#96745#94182#90780 |,False
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0,"735018 |

### instruction
given a table and a list of texts in the following, what is the answer to the question? please predict the answer and store it in a variable named ‘{answer}‘. if there are multiple values, separate them using the ’#’ symbol. if the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. the value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘",False
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,otc_rwnef,"vivendi |

### instruction
given a table and a list of texts in the following, what is the answer to the question? please predict the answer and store it in a variable named ‘{answer}‘. if there are multiple values, separate them using the ’#’ symbol. if the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. the value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. for non-numerical values, set the value of ‘{scale}‘ to ’none’. finally, present the final answer in the format of """,False
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, otc_adddf, nyse_az",response too long,False
