index,question,value,response,correct
0,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 21817500000.0"," 21779.00, 21856.00",False
1,Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"otc_bamgf, otc_esocf"," otc_bamgf, otc_esocf",True
2,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,13.44, 16.60,False
3,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"nasdaq_dasty, heidelberg-materials", heidelberg-materials,False
4,Which company has the lowest energy consumption over the last 4 years among the following companies in GWh?,deutsche-telekom-ag, otc_dpsgy,False
5,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,vivendi, vivendi,True
6,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,nyse_tte, nyse_tte,True
7,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Tonnes of CO2 equivalent?,otc_bayzf, otc_bayzf,True
8,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,6.72, 6.73,False
9,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,33.67, 36.88,False
10,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tonnes?,"104.8, 10586.8", 2410.70,False
11,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,4.64, -4.90,False
12,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"otc_bamgf, munich-re"," otc_bamgf, munich-re",True
13,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,66350.0, 33090.00,False
14,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,prosiebensat1-media, prosiebensat1-media,True
15,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"6.15, 6.0", 6.00%,False
16,What is the average percentage of hazardous waste generated in 2022 among the following companies?,20.75, 20.78,False
17,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,1.63, 1.63,True
18,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,873133.5, 873133.50,True
19,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,0.94, 0.91,False
20,Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"otc_su, heidelberg-materials"," heidelberg-materials, otc_su",False
21,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,31.69, 31.66,False
22,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,otc_adddf, nyse_az,False
23,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,630964.0, 564614.00,False
24,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in million mt CO2e?,otc_esocf, terna,False
25,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,11.15, 11.14,False
26,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"nyse_tte, otc_su"," nyse_tte, otc_su",True
27,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,5.42, -0.51%,False
28,Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,"nyse_tte, terna"," nyse_tte, terna",True
29,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,otc_bamgf, otc_bamgf,True
30,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,otc_esocf, nyse_az,False
31,Which company has the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,nasdaq_dasty, nasdaq_dasty,True
32,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of cu.m?,"otc_esocf, otc_crerf"," otc_esocf, otc_crerf",True
33,Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,vivendi, gri,False
34,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,98.83, 136448.00,False
35,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,terna, nasdaq_dasty,False
36,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,munich-re, munich-re,True
37,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,nyse_az, nyse_az,True
38,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in TCO2eq?,vivendi, vivendi,True
39,What is the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,1.8, -32.79%,False
40,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in million mt CO2e?,"1.9, 43.79"," 1.89, 1.91",False
41,What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"3751.0, 104.8"," 44.00, no second value.",False
42,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in TCO2eq?,1605647.0," 24,512.00",False
43,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, otc_esocf"," vivendi, vivendi",False
44,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2-eq?,"10759.5, 4327.0"," 11228.00, 10291.00",False
45,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2-eq?,"nasdaq_dasty, otc_adddf"," nasdaq_dasty, otc_adddf",True
46,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2eq?,axa, axa,True
