index,question,value,response,correct
0,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"otc_rwnef, munich-re","<munich-re>, <otc_rwnef>",False
1,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0","<11228.0>, <138339.0>",False
2,What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"5.05, 6.78","<otc_bayzf>, <otc_crerf>",False
3,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"30490.0, 37172.0","<oracle>, <axa>",False
4,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa","<axa>, <vivendi>",False
5,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"92467.0, 770748.0","<10291.0>, <11228.0>",False
6,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,munich-re,prosiebensat1-media,False
7,What are the top 3 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,"35.4, 8.2, 5.05","<otc_bamgf>, <otc_esocf>, <otc_crerf>",False
8,Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,otc_bayzf,otc_crerf,False
9,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"168709.0, 770748.0, 9720000.0","<727100.0>, <19496.0>, <11228.0>",False
10,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"5100000.0, 1120000.0, 142293.0","<otc_esocf>, <otc_bayzf>, <otc_adddf>",False
11,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,otc_bayzf,axa,False
12,What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.02, 0.11, 0.2","<112228.0>, <138339.0>, <10291.0>",False
13,What are the top 3 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"5.05, 8.2, 35.4","<otc_crerf>, <otc_esocf>, <otc_bamgf>",False
14,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,927.88,otc_bamgf,False
15,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,otc_esocf,otc_esocf,True
16,Which companies have the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, axa, otc_rwnef","<axa>, <vivendi>, <axa>",False
